date,week_number,year,warehouse,month,day,orders,holiday_name,holiday,shops_closed,winter_school_holidays,school_holidays,mov_change,precipitation,snow,id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,is_weekend,month_start_end
2020-12-05,49,2020,Brno_1,12,5,6447.0,0,0,0,0,0,0.0,0.0,0.0,Brno_1_2020-12-05,0,0,0,0,0,1,0,1,0
2020-12-05,49,2020,Budapest_1,12,5,4623.0,0,0,0,0,0,0.0,0.3,0.0,Budapest_1_2020-12-05,0,0,0,0,0,1,0,1,0
2020-12-05,49,2020,Prague_1,12,5,6895.0,0,0,0,0,0,0.0,0.0,0.0,Prague_1_2020-12-05,0,0,0,0,0,1,0,1,0
2020-12-05,49,2020,Prague_2,12,5,4154.0,0,0,0,0,0,0.0,0.0,0.0,Prague_2_2020-12-05,0,0,0,0,0,1,0,1,0
2020-12-05,49,2020,Prague_3,12,5,4091.0,0,0,0,0,0,0.0,0.0,0.0,Prague_3_2020-12-05,0,0,0,0,0,1,0,1,0
2020-12-06,49,2020,Brno_1,12,6,5338.0,0,0,0,0,0,0.0,0.0,0.0,Brno_1_2020-12-06,0,0,0,0,0,0,1,1,0
2020-12-06,49,2020,Budapest_1,12,6,4197.0,0,0,0,0,0,0.0,0.0,0.0,Budapest_1_2020-12-06,0,0,0,0,0,0,1,1,0
2020-12-06,49,2020,Prague_1,12,6,6584.0,0,0,0,0,0,0.0,0.0,0.0,Prague_1_2020-12-06,0,0,0,0,0,0,1,1,0
2020-12-06,49,2020,Prague_2,12,6,4016.0,0,0,0,0,0,0.0,0.0,0.0,Prague_2_2020-12-06,0,0,0,0,0,0,1,1,0
2020-12-06,49,2020,Prague_3,12,6,3972.0,0,0,0,0,0,0.0,0.0,0.0,Prague_3_2020-12-06,0,0,0,0,0,0,1,1,0
2020-12-07,50,2020,Brno_1,12,7,5621.0,0,0,0,0,0,0.0,0.5,0.0,Brno_1_2020-12-07,1,0,0,0,0,0,0,0,0
2020-12-07,50,2020,Budapest_1,12,7,4452.0,0,0,0,0,0,0.0,0.0,0.0,Budapest_1_2020-12-07,1,0,0,0,0,0,0,0,0
2020-12-07,50,2020,Prague_1,12,7,7030.0,0,0,0,0,0,0.0,0.0,0.0,Prague_1_2020-12-07,1,0,0,0,0,0,0,0,0
2020-12-07,50,2020,Prague_2,12,7,3917.0,0,0,0,0,0,0.0,0.0,0.0,Prague_2_2020-12-07,1,0,0,0,0,0,0,0,0
2020-12-07,50,2020,Prague_3,12,7,3903.0,0,0,0,0,0,0.0,0.0,0.0,Prague_3_2020-12-07,1,0,0,0,0,0,0,0,0
2020-12-08,50,2020,Brno_1,12,8,5792.0,0,0,0,0,0,0.0,0.0,0.0,Brno_1_2020-12-08,0,1,0,0,0,0,0,0,0
2020-12-08,50,2020,Budapest_1,12,8,4714.0,0,0,0,0,0,0.0,7.1,0.0,Budapest_1_2020-12-08,0,1,0,0,0,0,0,0,0
2020-12-08,50,2020,Prague_1,12,8,6550.0,0,0,0,0,0,0.0,0.8,0.0,Prague_1_2020-12-08,0,1,0,0,0,0,0,0,0
2020-12-08,50,2020,Prague_2,12,8,4038.0,0,0,0,0,0,0.0,0.8,0.0,Prague_2_2020-12-08,0,1,0,0,0,0,0,0,0
2020-12-08,50,2020,Prague_3,12,8,3684.0,0,0,0,0,0,0.0,0.0,0.0,Prague_3_2020-12-08,0,1,0,0,0,0,0,0,0
2020-12-09,50,2020,Brno_1,12,9,5894.0,0,0,0,0,0,0.0,0.3,0.0,Brno_1_2020-12-09,0,0,1,0,0,0,0,0,0
2020-12-09,50,2020,Budapest_1,12,9,4450.0,0,0,0,0,0,0.0,0.0,0.0,Budapest_1_2020-12-09,0,0,1,0,0,0,0,0,0
2020-12-09,50,2020,Prague_1,12,9,6910.0,0,0,0,0,0,0.0,0.5,0.0,Prague_1_2020-12-09,0,0,1,0,0,0,0,0,0
2020-12-09,50,2020,Prague_2,12,9,4017.0,0,0,0,0,0,0.0,0.5,0.0,Prague_2_2020-12-09,0,0,1,0,0,0,0,0,0
